,post_type,post_status,post_id,custom_todofuken_no,tax_todofuken,custom_sortorder,post_title,custom_postalcode,custom_address,custom_memo_available_datetime,custom_phone,custom_website,tax_is_open_sunday,tax_is_open_holiday,社内メモ,追加日
,medical-institution,publish,77700001,1,北海道,1,江別市立病院,067-8585,江別市若草町6番地,"月・木8:30～11:00 
火・金8:30～11:00、12:30～15:00
水12:30～15:00",011-382-5151,https://www.ebetsu-hospital.jp,,,,
,medical-institution,publish,77700002,1,北海道,1,医療法人社団プリモウイメンズクリニック,067-0031,江別市元町21番地の9,平日：9：00～17:00水土：9:00～12:00,011-391-7577,,,,,
,medical-institution,publish,77700003,1,北海道,1,医療法人社団みらいエナレディースクリニック,061-3209,石狩市花川南9条1丁目86番地2,"月水木：9：00～12:00/14:00～16:00/17:00～19:00
火金土日祝：9:00～13:00",0133-72-8688,www.ena-clinic.com,△,△,,
,medical-institution,publish,77700004,1,北海道,1,市立千歳市民病院,066-8550,千歳市北光2丁目1番1号,24時間対応,0123-24-3000,http://chitose-shimin-hospital.jp/,◯,◯,,
,medical-institution,publish,77700005,1,北海道,1,マミーズクリニックちとせ,066-0038,千歳市信濃2丁目1-13,"月・火・水・金9:00～12:00、14:00～16:30
木・土9:00～12:00",0123-27-4103,http://www.mom-clinic.com/,,,,
,medical-institution,publish,77700006,1,北海道,1,医療法人社団さくら女性クリニック,066-0062,千歳市千代田町7丁目1789-3千歳ステーションプラザ5F,月・火・木・金9:00～18:30水・土9:00～13:00,0123-27-1323,http://sakuracl-chitose.com/,,,,
,medical-institution,publish,77700007,1,北海道,1,医療法人社団産婦人科・小児科クリニックリブ,061-1441,恵庭市住吉町1丁目8-10,"午前月～土9:00～12:00
午後月・木14:00～17:00
水・金14:00～18:00
※第3火曜日休診",0123-32-0181,https://clinic-live.com/,,,,
,medical-institution,publish,77700008,1,北海道,1,みよしレディースクリニック,061-1133,北広島市栄町1丁目5-3北広島ビル2F,"月9:00～12:30、14:00～18:00
火・水・金9:00～12:30、14:00～ 17:00
木・土9:00～12:00",011-373-8500,http://www.miyoshi-i-clinic.com/,,,,
,medical-institution,publish,77700009,1,北海道,1,木古内町国民健康保険病院,049-0422,木古内町字本町710,第2・4火曜日（祝日除く）13:30- 16:30,01392-2-2079,http://kikonai-hospital.com,,,,
,medical-institution,publish,77700010,1,北海道,1,八雲総合病院,049-3197,二海郡八雲町東雲町50番地,"月・火・木・金8：45～11：30
水 13：00～15：00",0137-63-2185,http://hosp.town.yakumo.hokkaido.jp,,,,
