post_type,post_status,post_id,renban,todohuken_no,tax_todofuken,post_title,custom_postalcode,custom_address_city,custom_address,custom_phone,custom_fax,custom_openinghours,tax_is_emergency_contact,custom_emergency_contact_phone,pharmacist_name
pharmacy_korosho,publish,36900001,1,1,北海道,調剤薬局ツルハドラッグ北10条西店,001-0010,読み込んでいます...,札幌市北区北１０条西３－９－２,011-214-0259,011-214-0259,"平日9:00-13:00･14:00-18:00
土曜:9:00-13:00",無,,山科　沙織
pharmacy_korosho,publish,36900002,2,1,北海道,なの花薬局北大前店,001-0013,読み込んでいます...,札幌市北区北１３条西４－２－１７,011-757-1193,011-757-1194,"月～金　9:00～18:00
土　9:00～11:00",有,011-757-1193,宮川　丈史
pharmacy_korosho,publish,36900003,3,1,北海道,調剤薬局クスリのツルハ北大前店,001-0014,読み込んでいます...,札幌市北区北１４条西４－１－１７,011-700-5397,011-700-5397,平日　9:00～19:00,無,,馬庭　ちはる、関　恭吾
pharmacy_korosho,publish,36900004,4,1,北海道,わかば薬局,001-0017,読み込んでいます...,"札幌市北区北１７条西３－２－１６
木村ビル１Ｆ",011-716-4233,011-716-3130,"月～金9:00～19:00
土9:00～13:00",有,080-4379-7876,藤居　真弥子
pharmacy_korosho,publish,36900005,5,1,北海道,あしたば薬局北25条店,001-0025,読み込んでいます...,札幌市北区北２５条西８－２－２４,011-707-4193,011-707-4194,"月火木金土8:45～17:30
水8:45～12:45",有,011-707-4193,入江　麻裕、和田　彩子
pharmacy_korosho,publish,36900006,6,1,北海道,日本調剤麻生薬局,001-0040,読み込んでいます...,札幌市北区北４０条西４－２－１,011-746-2241,011-746-5077,"月～金9:00～18:30
第1.3.5土9:00～16:00
第2.4土9:00～13:00",有,090-5988-2851,五福　博
pharmacy_korosho,publish,36900007,7,1,北海道,麻生ポプラ薬局,001-0045,読み込んでいます...,札幌市北区麻生町６－１４－５,011-737-7101,011-737-3774,"月～金9:00～18:00
土9:00～13:00",有,080-4379-7876,野島　祥子
pharmacy_korosho,publish,36900008,8,1,北海道,なの花薬局新琴似１番通店,001-0901,読み込んでいます...,札幌市北区新琴似１条１２－６－３７,011-764-1193,011-764-1198,"月火水金9:00～18:30
木土9:00～13:00",無,,淵脇　さおり
pharmacy_korosho,publish,36900009,9,1,北海道,調剤薬局ツルハドラッグ新琴似１条店,001-0901,読み込んでいます...,札幌市北区新琴似１条７－９－３５,011-769-7268,011-769-7268,月～金9:00～18:00,有,070-4792-6831,森地　彩花
pharmacy_korosho,publish,36900010,10,1,北海道,なの花薬局新琴似店,001-0902,読み込んでいます...,札幌市北区新琴似２条１１－７－５,011-768-5101,011-768-5102,"月金9:00～18:00
火木8:30～19:00
水9:00～19:00
土9:00～12:00",有,011-768-5101,岸田　亮一
pharmacy_korosho,publish,36900011,11,1,北海道,なの花薬局新琴似６条店,001-0906,読み込んでいます...,札幌市北区新琴似６条１４－１－１９,011-769-5180,011-769-5181,"月火木金8:40～17:30
水土8:40～12:30",有,011-769-5180,福田　香
pharmacy_korosho,publish,36900012,12,1,北海道,調剤薬局ツルハドラッグ新琴似７条店,001-0907,読み込んでいます...,札幌市新琴似７－６－２－１,011-769-3268,011-769-3268,月～金9:00～18:00,無,,古舘　萌
pharmacy_korosho,publish,36900013,13,1,北海道,イチミヤ薬局,001-0908,読み込んでいます...,札幌市北区新琴似８条１－１－３８,011-716-4660,011-716-4667,"月～金9:00～20:00
土9:00～13:00",有,070-5284-6880,六川　梢、井上　尚謙
pharmacy_korosho,publish,36900014,14,1,北海道,なの花薬局札幌新川店,001-0924,読み込んでいます...,札幌市北区新川４条１０－６－８,011-764-2223,011-764-1117,"月火木金9:00～18:00
水土9:00～12:30",有,011-764-2223,東谷　崇之
pharmacy_korosho,publish,36900015,15,1,北海道,はるにれ企画はるにれ薬局屯田店,002-0856,読み込んでいます...,札幌市北区屯田六条２－９－１２,011-770-2560,011-770-2561,"月～金8:45～18:00
土8:45～13:00",無,,後藤　伸佳
pharmacy_korosho,publish,36900016,16,1,北海道,あおば薬局屯田店,002-0857,読み込んでいます...,札幌市北区屯田七条３－１０－１６,011-776-1111,011-776-1122,月～金9:00～19:15　土9:00～15:00,有,011-776-1111(転送),大渕　直子
pharmacy_korosho,publish,36900017,17,1,北海道,あおば薬局しのろ店,002-8022,読み込んでいます...,札幌市北区篠路２条１０－１２－５,011-776-4114,011-776-4101,"月火木金9:00～18:30
水土9:00～13:30",有,011-776-4114,蓮井　章平
pharmacy_korosho,publish,36900018,18,1,北海道,なの花薬局篠路店,002-8053,読み込んでいます...,札幌市北区篠路町篠路１８８－１,011-770-2233,011-770-2234,"月～金9:00～18:00
第2.4土9:00～18:00",有,011-770-2233,妹尾　大樹
pharmacy_korosho,publish,36900019,19,1,北海道,調剤薬局ツルハドラッグ拓北６条店,002-8066,読み込んでいます...,札幌市北区拓北６条５－２－３４,011-778-8268,011-778-8268,"月火木金9:00～18:00
水土9:00～13:00",有,080-9000-6683,藤田　理恵、上田　愛美、山科　沙織、西村　祐一郎、寺澤　亮、塩幡　民枝
