"id","name","postalcode","address_todofuken","address_shikuchoson","address","shikuchosonCode","phone","website","available_date"
"77700001","江別市立病院","067-8585","北海道","江別市","江別市若草町6番地","01217","011-382-5151","https://www.ebetsu-hospital.jp","月・木8:30～11:00 
火・金8:30～11:00、12:30～15:00
水12:30～15:00"
"77700002","医療法人社団プリモウイメンズクリニック","067-0031","北海道","江別市","江別市元町21番地の9","01217","011-391-7577","","平日：9：00～17:00水土：9:00～12:00"
"77700003","医療法人社団みらいエナレディースクリニック","061-3209","北海道","石狩市","石狩市花川南9条1丁目86番地2","01235","0133-72-8688","www.ena-clinic.com","月水木：9：00～12:00/14:00～16:00/17:00～19:00
火金土日祝：9:00～13:00"
"77700004","市立千歳市民病院","066-8550","北海道","千歳市","千歳市北光2丁目1番1号","01224","0123-24-3000","http://chitose-shimin-hospital.jp/","24時間対応"
"77700005","マミーズクリニックちとせ","066-0038","北海道","千歳市","千歳市信濃2丁目1-13","01224","0123-27-4103","http://www.mom-clinic.com/","月・火・水・金9:00～12:00、14:00～16:30
木・土9:00～12:00"
"77700006","医療法人社団さくら女性クリニック","066-0062","北海道","千歳市","千歳市千代田町7丁目1789-3千歳ステーションプラザ5F","01224","0123-27-1323","http://sakuracl-chitose.com/","月・火・木・金9:00～18:30水・土9:00～13:00"
"77700007","医療法人社団産婦人科・小児科クリニックリブ","061-1441","北海道","恵庭市","恵庭市住吉町1丁目8-10","01231","0123-32-0181","https://clinic-live.com/","午前月～土9:00～12:00
午後月・木14:00～17:00
水・金14:00～18:00
※第3火曜日休診"
"77700008","みよしレディースクリニック","061-1133","北海道","北広島市","北広島市栄町1丁目5-3北広島ビル2F","01234","011-373-8500","http://www.miyoshi-i-clinic.com/","月9:00～12:30、14:00～18:00
火・水・金9:00～12:30、14:00～ 17:00
木・土9:00～12:00"
"77700009","木古内町国民健康保険病院","049-0422","北海道","木古内町","木古内町字本町710","01334","01392-2-2079","http://kikonai-hospital.com","第2・4火曜日（祝日除く）13:30- 16:30"
"77700010","八雲総合病院","049-3197","北海道","八雲町","二海郡八雲町東雲町50番地","01346","0137-63-2185","http://hosp.town.yakumo.hokkaido.jp","月・火・木・金8：45～11：30
水 13：00～15：00"
"77700011","北海道立江差病院","043-0022","北海道","江差町","檜山郡江差町伏木戸町484番地","01361","0139-52-0036","https://esashi.hospital.hokkaido.jp/","月・火9:00～11:30"
"77700012","ＪＡ北海道厚生連倶知安厚生病院","044-0004","北海道","倶知安町","虻田郡倶知安町北4条東1丁目2番地","01400","0136-22-1141","https://www.dou-kouseiren.com/byouin/kutchan/","72時間以内に平日があれば、平日の産婦人科へ搬送する。（平日8～ 11時と月・火の14時～16時）72時間以内が休日しかない場合、翌日10時頃に来院、翌日10時までに72時間が経過する場合、医師の判断にて可否を決定する。"
"77700013","寿都町立寿都診療所","048-0406","北海道","寿都町","寿都町渡島町72番地2","01392","0136-62-2411","http://www.town.suttu.lg.jp/life/detail.php?id=55","平日8:30-16:30
時間外及び休日・祝日は要TEL"
"77700014","医療法人社団岩見沢レディースクリニック","068-0028","北海道","岩見沢市","岩見沢市8条西19丁目3-1","01210","0126-23-2222","","平日９：００～１９：００
土曜９：００～１３：００
日曜９：００～１３：００（日曜、祝日）"
"77700015","砂川市立病院","073-0196","北海道","砂川市","砂川市西4条北3丁目1-1","01226","0125-54-2131","http://www.med.sunagawa.hokkaido.jp/","平日8：30～12：30"
"77700016","医療法人社団たきかわ産科婦人科クリニック","073-0021","北海道","滝川市","滝川市本町2丁目5番18号","01225","0125-23-3039","","月・火・水・金8：30〜12：00/13：00〜 17：00
木・土8：30〜12：00"
"77700017","名寄市立総合病院","096-8511","北海道","名寄市","名寄市西7条南8丁目1番地","01221","01654-3-3101","http://www.nayoroch.jp/","平日8:30-17:00"
"77700018","社会福祉法人北海道社会事業協会富良野病院","076-8765","北海道","富良野市","富良野市住吉町1-30","01229","0167-23-2181","http://www.msknet.ne.jp/~furano-hospital/","平日8:30～16:50
土曜8:30～12:00（第２、４土曜休診）"
"77700019","留萌市立病院","077-8511","北海道","留萌市","留萌市東雲町2丁目16番地","01212","0164-49-1011","http://www.rumoi-hp.jp","平日８：４５～１７：００
土日祝日８：４５～１７：００"
"77700020","市立稚内病院","097-8555","北海道","稚内市","稚内市中央4丁目11番6号","01214","0162-23-2771","http://www.city.wakkanai.hokkaido.jp/hospital/","24時間対応可能"
"77700021","利尻島国保中央病院","097-0401","北海道","利尻町","利尻郡利尻町沓形字緑町11番地","01518","0163-84-2626","http://www.town.rishiri.hokkaido.jp/KOKUHO/","受付時間
月・木曜日8：30-15：00
火・水・金曜日8：30-11：00"
"77700022","網走厚生病院","093-0076","北海道","網走市","網走市北6条西1丁目9番地","01211","0152-43-3157","https://www.dou-kouseiren.com/byouin/abasiri/","24時間対応可能"
"77700023","金川医院","093-0012","北海道","網走市","網走市南2条西2丁目10番地","01211","0152-43-2884","","平日8：30～17：30 土日祝8：30～12：00"
"77700024","やまかわウィメンズクリニック","090-0804","北海道","北見市","北見市桜町5丁目8番地","01208","0157-66-0011","http://www.myclinic.ne.jp/ywc06/","月・木9:00～12:00、14:00～18:00火・金9:00～12:00、14:00～17:00
水、第１・３土9:00～12:00"
"77700025","産科・婦人科北見レディースクリニック","090-0020","北海道","北見市","北見市大通東2丁目11番地","01208","0157-31-0303","","平日9:00～17:00（月・火・木・金）水・土9:00～12:00"
"77700026","医療法人社団公和会中村記念愛成病院","090-0051","北海道","北見市","北見市高栄東町4丁目20番1号","01208","0157-24-8131","https://www.kouwakai-nakamura.jp/","【月・水・金】9：00～17：00
【火・木・土】9：00～12：00"
"77700027","広域紋別病院","094-8709","北海道","紋別市","紋別市落石町1-10-37","01219","0158-24-3111","https://www.mombetsu-hospital.jp","平日
①9:00-11:00
②13:00-15:00
※②について水、木曜日は除く"
"77700028","社会医療法人製鉄記念室蘭病院","050-0076","北海道","室蘭市","室蘭市知利別町1丁目45番地","01205","0143-44-4650","http://www.nshp-muroran.or.jp/","（受付時間）平日8:30～11:00"
"77700029","医療法人緑風会石田内科胃腸科","049-5615","北海道","洞爺湖町","洞爺湖町本町195","01584","0142-76-3838","http://ishidanaikaichoka.com/custom3.html","平日
８：３０～１１：３０１１：３０～１８：００土８：３０～１１：３０"
"77700030","社会医療法人母恋日鋼記念病院","051-8501","北海道","室蘭市","室蘭市新富町1-5-13","01205","0143-24-1331","https://www.nikko-kinen.or.jp/","24時間365日対応可能"
"77700031","医療法人社団のぞみ会レディースクリニックぬまのはた","059-1304","北海道","苫小牧市","苫小牧市北栄町2-27-7","01213","0144-53-0303","https://ladies-numanohata.com/index.html","平日9：00-12：0014：00-17：00
土曜9：00-12：00"
"77700032","王子総合病院","053-8506","北海道","苫小牧市","苫小牧市若草町3丁目4-8","01213","0144-32-8111","http://www.ojihosp.or.jp/","平日8：30-11：00"
"77700033","医療法人社団苫仁会桜木ファミリークリニック","053-0832","北海道","苫小牧市","苫小牧市桜木町2丁目25-1","01213","0144-71-2351","http://www.mc-senjinkai.or.jp","月・火・木・金9：00-12：0014：00-17： 00
土（第２・４週）9：00-12：00"
"77700034","新ひだか町立静内病院","056-0004","北海道","新ひだか町","新ひだか町静内緑町4丁目5番1号","01610","0146-42-0181","https://www.shinhidaka-hokkaido.jp/hospital/","火曜日～木曜日8：30～16：00"
"77700035","医療法人社団慶愛慶愛女性クリニック","080-2473","北海道","帯広市","帯広市西23条南2丁目16番地","01207","0155-61-1155","http://www.keiai.or.jp","平日午前8:30～11:00午後13:30～16:00
土・日・祝日は休診"
"77700036","（医）慶愛慶愛病院","080-0803","北海道","帯広市","帯広市東3条南9丁目2番地","01207","0155-22-4188","https://www.keiai.or.jp/","平日9:00-17:00土曜9:00-12:30"
"77700037","医療法人社団慶香会坂野産科婦人科","080-0019","北海道","帯広市","帯広市西9条南10丁目1-3","01207","0155-26-1188","","AM9:00～12:30月～土
PM14:00～17:00月・火・水・金"
"77700038","帯広レディースクリニック","080-0013","北海道","帯広市","帯広市西3条南4丁目14三条メディカルセンター2F","01207","0155-22-3773","","月・火・水・金 9：00～12:0014:00～17:00木9：00～12:00"
"77700039","社会福祉法人北海道社会事業協会帯広病院","080-0805","北海道","帯広市","帯広市東5条南9丁目2","01207","0155-22-6600","http://www.obihiro-kyokai-hsp-jp","受付時間
平日8:30～11:00、13:00～15:00
土曜（第1、第3、第5）8:30～11:00"
"77700040","市立釧路総合病院","085-0822","北海道","釧路市","釧路市春湖台1-12","01206","0154-41-6121","http://www.kushiro-cghp.jp/","平日：8時30分～11時00分土・日・祝日は対応不可"
"77700041","総合病院釧路赤十字病院","085-8512","北海道","釧路市","釧路市新栄町21番14号","01206","0154-22-7171","http://www.kushiro.jrc.or.jp","平日：8:30-17:05（要問合せ）"
"77700042","くしろレディースクリニック","085-0047","北海道","釧路市","釧路市新川町2-23","01206","0154-32-1020","https://kushiro-ladies.jp/","月・火・木・金８：３０-１６：３０水８：３０-１２：３０
土８：３０-１３：３０"
"77700043","医療法人社団足立産婦人科クリニック","085-0052","北海道","釧路市","釧路市中園町8番1号","01206","0154-25-7788","http://www.adachi-woman.jp","【月～水・金】  8:30～12:15、13:30～16:30
【木・土（第１・３）】8:30～12:15
【土（第２・４）】 8:30～12:15、13:30～15:30"
"77700044","市立根室病院","087-8686","北海道","根室市","根室市有磯町1丁目2番地","01223","0153-24-3201","https://www.city.nemuro.hokkaido.jp/cgi-bin/hsp/index.php","平日8：30～15：00"
"77700045","町立中標津病院","086-1110","北海道","中標津町","標津郡中標津町西10条南9丁目1番地1","01692","0153-72-8200","http://nakashibetsu-hospital.jp/","平日8：30～17：15"
"77700046","町立別海病院","086-0203","北海道","別海町","別海町別海西本町103番地の9","01691","0153-75-2311","betsukai.jp/bhp/index.html","24時間毎日対応"
"77700047","ＮＴＴ東日本札幌病院","060-0061","北海道","札幌市中央区","札幌市中央区南1条西15丁目","01101","011-623-7000","http://www.ntt-east.co.jp/smc/","月曜日～金曜日8：20～15：30"
"77700048","社会医療法人社団カレスサッポロ時計台記念病院","060-0031","北海道","札幌市中央区","札幌市中央区北1条東1丁目2番3号","01101","011-251-1221","http://www.tokeidaihosp.or.jp/","平日8：30-17：00土曜電話により要確認"
"77700049","札幌マタニティ・ウイメンズホスピタル","001-0013","北海道","札幌市北区","札幌市北区北13条西4丁目2番23号","01102","011-746-5505","https://www.smwh.or.jp/","月・土9：00-16：30火～金9：00-19： 00"
"77700050","医療法人育愛会札幌東豊病院","065-0017","北海道","札幌市東区","札幌市東区北17条東15丁目3番1号","01103","011-704-3911","http://www.toho-hosp.or.jp/","平日9：00-19：00土曜・日曜9：00- 16：30"
"77700051","札幌白石産科婦人科病院","003-0005","北海道","札幌市白石区","札幌市白石区東札幌5条6丁目6-28","01104","011-862-7211","http://www.shiroishi.or.jp/","日中外来時
平日9：00～12：3014：00～16：30土曜9：00～12：30"
"77700052","勤医協札幌病院","003-0804","北海道","札幌市白石区","札幌市白石区菊水4条1丁目9番22号","01104","011-811-2246","","平日9：00～17：00（水曜のみ9：00～ 12：30）
土9：00～12：30"
"77700053","医療法人徳洲会札幌徳洲会病院","004-0041","北海道","札幌市厚別区","札幌市厚別区大谷地東1丁目1番1号","01108","011-890-1110","www2.satutoku.jp","月曜日～金曜日９：００～１７：００ 
土曜日９：００～１１：００
日祝対応不可"
"77700054","ＫＫＲ札幌医療センター","062-0931","北海道","札幌市豊平区","札幌市豊平区平岸1条6丁目3番40号","01105","011-822-1811","https://www.kkr-smc.com/","平日9:00～17:00土日9:00～13:00"
"77700055","医療法人社団エナ大通クリニック","060-0001","北海道","札幌市中央区","札幌市中央区北1条西4丁目1番地1三甲大通公園ビル2階","01101","011-241-3000","www.ena-odori.com","月10：00～13：3015：00～19：30
火・木・金10：00～13：3015：00～18： 00
土10：00～13：3016：00～19：00"
"77700056","オアシスレディースクリニック","064-0922","北海道","札幌市中央区","札幌市中央区南22条西11丁目1-48山鼻メディカルビル4階","01101","011-512-2525","www.dosanko-c.com/oasis","月・火・木・金：9~18時、水：9~12時、土：9~14時"
"77700057","セントベビークリニック","060-0001","北海道","札幌市中央区","札幌市中央区北1条西2丁目1番地札幌時計台ビル2階","01101","011-215-0880","http://stbaby.org/","診療時間内であれば対応可能"
"77700058","にしかわウイメンズヘルスクリニック","060-0061","北海道","札幌市中央区","札幌市中央区南1条西14丁目291-81ｳｨｽﾃﾘｱ南1条ﾋﾞﾙ2F","01101","011-213-1730","https://nishikawa-whc.com/","火・木・金→午前）9:00～12:00午後） 14:00～17:30
水→午前）9:00～12:00
土→午前）9:00～12:00午後）13:00～ 16:30"
"77700059","のだレディースクリニック","060-0011","北海道","札幌市中央区","札幌市中央区北11条西15丁目2番1号桑園メディカルプラザ","01101","011-708-0550","","月・火・水・金10：00～13：0015：00～ 19：00
木・土10：00～13：00"
"77700060","まどかレディースクリニック","060-0042","北海道","札幌市中央区","札幌市中央区大通西5丁目8番地昭和ビル","01101","011-231-0080","madoka-lc.com","月（第２・第４）8：30～13：0015：00～ 18：30
火～木・金（第４のみ）8：30～13： 0015：00～18：30
金15：00～13：30土8：30～13：00"
"77700061","円山レディースクリニック","064-0821","北海道","札幌市中央区","札幌市中央区北1条西25丁目1番16号","01101","011-614-0800","https://maruyama-ladies.com/","平日9：00～18：30土曜9：00～15：00"
"77700062","（医）みぶな会ひなたクリニック","060-0003","北海道","札幌市中央区","札幌市中央区北3条西4丁目1番日本生命札幌ビル
3階","01101","011-204-8000","http://www.hinataclinic.com","月・火・木・金10：00～13：0015：00～ 19：00
水・土10：00～13：00"
"77700063","医療法人社団ゆほな会はやしたくみ女性クリニック","064-0820","北海道","札幌市中央区","札幌市中央区大通西25丁目1番2号ハートランド円山ビル3階","01101","011-640-8845","womens-clinic.jp","月・火・水・金9：00～12：3014：00～ 18：30
木9：00～12：30       1・3・5土9：00～12：30
2・4土9：00～12：3014：00～17：00"
"77700064","医療法人社団ルミネレディースクリニック","060-0061","北海道","札幌市中央区","札幌市中央区南1条西2丁目5番地南1条Kビル3F","01101","011-200-7700","http://lumine-clinic.com/","月、火、金9：00～12：00、13：00～ 16：30
水9：30～12：30、13：30～18：30木9：00～13：00
土（隔週）9：00～13：00"
