"id","name","postalcode","address_todofuken","address_shikuchoson","address","shikuchosonCode","phone","website","openinghours"
,"学校法人聖路加国際大学聖路加国際病院","104-8560","東京都","中央区","中央区明石町9番1号","13102","03-3541-5151","http://hospital.luke.ac.jp/","女性総合診療部 平日 8:30-17:00救命救急センター 夜間 17:00-8:30土・日・祝 0:00-23:59"
,"北里大学 北里研究所病院","108-8642","東京都","港区","港区白金5丁目9番1号","13103","03-3444-6161","http://www.kitasato-u.ac.jp/hokken-hp/","平日 8:30-11:30土(第4除く) 8:30-11:30"
,"国家公務員共済組合連合会 虎の門病院","105-8470","東京都","港区","港区虎ノ門2-2-2","13103","03-3588-1111","https://www.toranomon.gr.jp","平日 9:00-16:30"
,"独立行政法人地域医療機能推進機構 東京新宿メディカルセンター","162-8543","東京都","新宿区","新宿区津久戸町5-1","13104","03-3269-8111","http://www.tkn-hosp.gr.jp","月・木 9:00-16:00 金 11:00-16:00"
,"東京医科大学病院","160-0023","東京都","新宿区","新宿区西新宿6-7-1","13104","03-3342-6111","http://hospinfo.tokyo-med.ac.jp/","平日 8:00-11:00"
,"順天堂大学医学部附属順天堂医院","113-8431","東京都","文京区","文京区本郷3-1-3","13105","03-3813-3111","www.juntendo.jp/hospital","平日 8:00-15:00  土 8:00-11:00"
,"公益財団法人東京都保健医療公社 荏原病院","145-0065","東京都","大田区","大田区東雪谷4-5-10","13111","03-5734-8000","http://www.ebara-hp.ota.tokyo.jp/","平日 8:00-12:00 13:00-17:00"
,"独立行政法人労働者健康安全機構 東京労災病院","143-0013","東京都","大田区","大田区大森南4-13-21","13111","03-3742-7301","https://tokyoh.johas.go.jp/","平日 9:00-17:00"
,"医療法人社団九折会 成城木下病院","157-0066","東京都","世田谷区","世田谷区成城6-13-20","13112","03-3482-1702","https://kinohosp.com/","月~土 8:00-11:30 12:00-16:30"
,"社会福祉法人康和会 久我山病院","157-0061","東京都","世田谷区","世田谷区北烏山2-14-20","13112","03-3309-1111","http://www.kugayama-hp.org/","24時間対応可能(緊急など出来ない場合もある。受診希望は事前TEL)"
,"一般財団法人自警会 東京警察病院","164-8541","東京都","中野区","中野区中野四丁目22番1号","13114","03-5343-5611","http://www.keisatsubyoin.or.jp/","平日 8:30-11:30"
,"医療法人財団明理会 明理会中央総合病院","114-0001","東京都","北区","北区東十条3-2-11","13117","03-5902-1199","https://ims.gr.jp/meirikaichuo/","平日 8:30-16:30"
,"公益社団法人地域医療振興協会 東京北医療センター","115-0053","東京都","北区","北区赤羽台4-17-56","13117","03-5963-3311","https://www.tokyokita-jadecom.jp/","24時間"
,"医療法人財団逸生会 大橋病院","115-0054","東京都","北区","北区桐ケ丘1-22-1","13117","03-3907-1222","http://o-hp.or.jp/","月・火・木・金 9:00-16:30土(第2・4) 9:00-11:30"
,"社会医療法人社団正志会荒木記念東京リバーサイド病院","116-0003","東京都","荒川区","荒川区南千住8-4-4","13118","03-5850-0311","http://www.trshp./jp/","月・金・土 8:30-11:30水・木   8:30-11:30 13:30-16:00"
,"東京女子医科大学東医療センター","116-8567","東京都","荒川区","荒川区西尾久2-1-10","13118","03-3810-1111","https://twmu-mce.jp/","基本24時間 困難な場合もある"
,"医療法人財団 明理会 東京腎泌尿器センター大和病院","173-0001","東京都","板橋区","板橋区本町36-3","13119","03-5943-2411","https://www.ims.gr.jp/yamato/","平日 8:30-17:00 土 8:30-12:30"
,"医療法人財団仁寿会 荘病院","173-0004","東京都","板橋区","板橋区板橋1-41-14","13119","03-3963-0551","http://www.sho-hospital.jp/usr/pc/","平日 9:00-11:30土    9:00-11:30  (第2休診)"
,"公益財団法人東京都保健医療公社 豊島病院","173-0015","東京都","板橋区","板橋区栄町33-1","13119","03-5375-1234","http://www.toshima-hp.jp/","平日 9:00-15:30"
,"医療法人社団明芳会 板橋中央総合病院","174-0051","東京都","板橋区","板橋区小豆沢2-12-7","13119","03-3967-1181","https://www.ims-itabashi.jp/","平日 8:00-11:30"
,"板橋区医師会病院","175-0082","東京都","板橋区","板橋区高島平3-12-6","13119","03-3975-8151","http://www.itabashi-med.jp/","平日・土 8:30-11:00"
,"医療法人社団成和会 産婦人科病院成増産院","175-0094","東京都","板橋区","板橋区成増1-1-1","13119","03-3975-1111","http://www.narimasu.or.jp","月・火・水・金・土 9:00-17:00木 9:00-12:00"
,"順天堂大学医学部附属練馬病院","177-8521","東京都","練馬区","練馬区高野台3-1-10","13120","03-5923-3111","https://www.juntendo.ac.jp/hospital_nerima/","24時間"
,"医療法人社団 久保田産婦人科病院","178-0063","東京都","練馬区","練馬区東大泉3-29-10","13120","03-3922-0262","https://www.kubota-hosp.jp/","平日 9:00-11:30 14:00-16:30土   9:00-11:30"
,"医療法人社団苑田会 苑田第一病院","121-0813","東京都","足立区","足立区竹の塚4-1-12","13121","03-3850-5721","http://www.sonodakai.or.jp/shisetu/so1.html","平日 9:00-12:00 土 9:00-12:00"
,"医療法人社団向日葵会まつしま病院","132-0031","東京都","江戸川区","東京都江戸川区松島1-41-29","13123","03-3653-5541","http://www.matsushima-wh.or.jp/","平日9-17時・土曜日9-13時"
,"医療法人社団理弘会 岩倉病院","133-0056","東京都","江戸川区","江戸川区南小岩7-28-4","13123","03-3659-3215","https://www.iwakura-byoin.com/","平日 9:00-18:45 土 9:00-16:45"
,"医療法人社団 米山産婦人科病院","192-0065","東京都","八王子市","八王子市新町2-12","13201","042-642-5225","http://www.yoneyama-hp.jp","平日・土・日・祝 9:00-17:00"
,"医療法人社団 大聖病院","197-0011","東京都","福生市","福生市福生871","13218","042-551-1311","","月・火・水・木 9:00-16:00金・土 9:00-12:00"
,"公立福生病院","197-8511","東京都","福生市","福生市加美平1-6-1","13218","042-551-1111","www.fussahp.jp","24時間"
,"稲城市立病院","206-0801","東京都","稲城市","稲城市大丸1171","13225","042-377-0931","http://www.hospital.inagi.tokyo.jp","平日 8:30-17:00"
,"医療法人財団 立川中央病院","190-0023","東京都","立川市","立川市柴崎町2-17-14","13202","042-522-7171","http://www.tactis.or.jp","平日 8:30-11:30 13:00-16:00"
,"社会医療法人財団大和会武蔵村山病院","208-0022","東京都","武蔵村山市","武蔵村山市榎1-1-5","13223","042-566-3111","http://www.yamatokai.or.jp/musasimurayama/","月~土 8:30-11:00 受付時間"
,"医療法人社団新愛会 東府中病院","183-0005","東京都","府中市","府中市若松町2-7-20","13206","042-364-0151","http://higashifuchu-hp.jp/","月~土 9:00-17:00"
,"医療法人社団 飯野病院","182-0024","東京都","調布市","調布市布田4-3-2","13208","042-483-8811","http://www.iino-hospital.or.jp","月・火・水・金・土 9:00-11:30 13:30-16:00"
,"医療法人社団桐光会 調布病院","182-0034","東京都","調布市","調布市下石原3-45-1","13208","042-484-2626","http://www.tokokai.or.jp/","平日 8:20-12:30 13:30-16:00土 8:20-12:30"
,"医療法人社団時正会佐々総合病院","188-0011","東京都","西東京市","西東京市田無町4-24-15","13229","042-461-1535","http://www.sasa-hospital.com/","平日 9:00-16:30土   9:00-12:30"
