"id","name","postalcode","address_todofuken","address_shikuchoson","address","shikuchosonCode","phone","openinghours","emergency_contact","emergency_contact_phone"
"","くくる薬局","900-0003","沖縄県","那覇市","那覇市安謝1-10-30","47201","098-943-7500","月・火・木・金9：00～19：00水・土9：00～17：00","無",""
"","共創未来天久薬局","900-0005","沖縄県","那覇市","那覇市天久９１０","47201","098-860-7881","月～金・祝9:00～19:00土9:00～14:00","無",""
"","ドラッグイレブン薬局新都心おもろまち店","900-0006","沖縄県","那覇市","那覇市おもろまち３－５－２２","47201","098-860-3335","月～土9:00～18:00","有","080-2777-0243"
"","とまり薬局","900-0012","沖縄県","那覇市","那覇市泊１－１１－７","47201","098-866-1786","月～金9:00～18:00土9:00～13:30","無",""
"","ミント薬局","900-0013","沖縄県","那覇市","那覇市牧志２－１７－１７","47201","098-862-8887","月・火・木・金・土9:00～18:00","無",""
"","沖映通り薬局","900-0013","沖縄県","那覇市","那覇市牧志２－１７－１","47201","098-861-7912","月火水金8:30～18:00木9:00～18:00土8:30～12:30","無",""
"","まつお虹薬局","900-0014","沖縄県","那覇市","那覇市松尾２－１７－３０　宇地原ビル１Ｆ","47201","098-869-1234","月火木金9:00～17:30水9:00～17:00土9:00～13:00","無",""
"","ぴぃぷる薬局与儀店","900-0022","沖縄県","那覇市","那覇市桶川１－１８－４０","47201","098-831-4954","月～水・金9:00～18:00水9:00～17:00土9:00～13:00日・祝休み","有","080-1798-4954"
"","こくら虹薬局","900-0024","沖縄県","那覇市","那覇市古波蔵４－１０－５３","47201","098-835-9280","月～金9:00～21:00土9:00～17:00","有","098-835-9280"
"","そうごう薬局 壺川店","900-0025","沖縄県","那覇市","那覇市壺川1-13-7","47201","098-833-1311","月・火・水・金9：00～18：00木・土9：00～16：00","有","098-833-1311"
"","薬志堂薬局小禄店","901-0152","沖縄県","那覇市","那覇市小禄５５６－１","47201","098-859-1245","月～金9:00～18:00土9:00～13:00","無",""
"","和ごころ薬局さつき店","901-0153","沖縄県","那覇市","那覇市宇栄原３－１４－１２","47201","098-857-6111","月～土9:00～18:00","無",""
"","イオン薬局那覇店","901-0155","沖縄県","那覇市","那覇市金城５－１０－２","47201","098-891-8211","月～金11:00～18:00","無",""
"","オリーブ薬局小禄店","901-0156","沖縄県","那覇市","那覇市田原３－１－１２　第２丸元ビル１０１","47201","098-996-2255","月～水・金9:00～19:30木9:00～15:00土9:00～18:00","有","090-9912-1393"
"","いちご薬局真玉橋店","901-0201","沖縄県","豊見城市","豊見城市真玉橋２８５－１　－１Ｆ","47212","098-996-3115","9:00～18:00日・祝休み","無",""
"","そうごう薬局 豊見城店","901-0213","沖縄県","豊見城市","豊見城市高嶺395-103","47212","098-891-7771","月～水・金8：30～17：30木8：30～16：30土8：30～12：30","応相談","098-891-7771"
"","ミルク薬局 豊見城店","901-0241","沖縄県","豊見城市","豊見城市豊見城293-2","47212","098-852-2666","月～水・金9：00～12：00木9：00～17：00土9：00～18：00","有","070-1738-0729"
"","会営薬局とよみ","901-0244","沖縄県","豊見城市","豊見城市宜保２７１－１","47212","098-856-4160","月～金8:30～18:30土8:30～13:00","無",""
"","あはごん薬局","901-0301","沖縄県","糸満市","糸満市阿波根１５５２－５","47210","098-995-1256","月～金9：00～18：00土9：00～17：00","無",""
"","ゆい潮平薬局","901-0302","沖縄県","糸満市","糸満市潮平７６７－１９","47210","098-992-6122","月～金900～18:00土9:00～13:00","無",""
"","りんご調剤薬局 糸満店","901-0334","沖縄県","糸満市","糸満市大度515-1","47210","098-997-4778","月～金9：00～18：00","無",""
"","ゆい薬局 真栄里店","901-0362","沖縄県","糸満市","糸満市真栄里2024-3","47210","098-994-4193","月～金9：00～18：00土9：00～13：00","無",""
"","りんご調剤薬局 東風平店","901-0401","沖縄県","八重瀬町","八重瀬町東風平1209-16","47362","098-987-4768","月・火・木・金9：00～18：00水8：45～16：45
土9：00～13：00","無",""
"","日本調剤南部薬局","901-0417","沖縄県","八重瀬町","島尻郡八重瀬町外間１８４－１","47362","098-851-9066","月〜金9:00〜18:00 土9:00〜13:00","無",""
"","とくりん薬局","901-1103","沖縄県","南風原町","南風原町与那覇283","47350","098-889-3580","月～土9：00～18：00","無",""
"","あおぞら薬局","901-1103","沖縄県","南風原町","南風原町与那覇２３６－１","47350","098-835-6633","月～水・金・土8:30～18:30木8:30～13:30","無",""
"","りんご薬局 新川店","901-1105","沖縄県","南風原町","南風原町新川217-4","47350","098-894-6356","月～土9：00～18：00","無",""
"","すこやか薬局新川店","901-1105","沖縄県","南風原町","南風原町新川１０１－３","47350","098-882-7111","月～金9:00～18:30土9:00～12:00","無",""
"","メルシー薬局 かねぐすく","901-1111","沖縄県","南風原町","南風原町兼城656-3","47350","098-888-3888","月～金9：00～18：00土9：00～13：00","有","080-2304-9913"
"","りんりん堂薬局","901-1208","沖縄県","南城市","南城市大里平良2568-2","47215","098-882-0051","月・火・木・金8：30～18：00水・土8：30～13：00","有","098-882-0051"
"","みのり薬局","901-1304","沖縄県","与那原町","与那原町東浜90-4","47348","098-946-4690","月～土9：00～18：00","有","090-8760-6715"
"","くはら薬局","901-1505","沖縄県","南城市","南城市知念久原６９３","47215","098-852-5740","月～水・金9:00～19:00木9:00～18:00土9:00～13:00","無",""
"","うらそえ虹薬局","901-2126","沖縄県","浦添市","浦添市宮城３－１－５－１","47208","098-870-8660","月・火・木・金9:00～17:30水9:00～17:00土9:00～13:00","有","098-870-8660"
"","サンアイ薬局 ぐすくま","901-2133","沖縄県","浦添市","浦添市城間３－３－１","47208","098-988-3223","火・木・金8:00～18:00水8:00～17:00土7:30～17:00","有","080-8450-5936"
"","とくりん薬局城間店","901-2133","沖縄県","浦添市","浦添市城間1-37-19","47208","098-988-1522","月・火・木～土9:00～19:00","有","098-895-1522"
"","すこやか薬局野嵩店","901-2203","沖縄県","宜野湾市","宜野湾市野嵩１－１０－１１","47205","098-892-4111","月・火・木・金9:00～18:00水9:00～17:00土9:00～12:00","無",""
"","りんご薬局 宜野湾店","901-2211","沖縄県","宜野湾市","沖縄県宜野湾市宜野湾3-3-10","47205","098-896-0191","月～金 8：30～18：00‬
土 8：30～13：00‬","有","098-896-0191"
"","ゆい薬局 長田店","901-2212","沖縄県","宜野湾市","宜野湾市長田1-26-17","47205","098-896-0700","月・火・木・金9：00～18：30水9：00～17：00土9：00～13：00","有","070-5532-0701"
"","がねこ薬局","901-2214","沖縄県","宜野湾市","宜野湾市我如古３－８－８","47205","098-942-2888","月～金8:30～17:30土8:30～12:30","無",""
"","うちどまり薬局","901-2227","沖縄県","宜野湾市","宜野湾市宇地泊８１８","47205","098-890-0088","月～土9:00～18:00","無",""
"","日本調剤中部薬局","901-2305","沖縄県","北中城村","中頭郡北中城村比嘉595-3 丸清アパート 1階","47327","098-931-9701","月～金9：00～20：00　土9：00～15：00","無",""
"","すこやか薬局ライカム店","901-2305","沖縄県","北中城村","北中城村比嘉４９４－１","47327","098-923-2234","月～金9:00～18:00土9:00～13:00","無",""
"","株式会社たいよう薬局東店","901-3112","沖縄県","久米島町","島尻郡久米島町宇真我里75-8","47361","098-985-8040","月～金　9：00～18：00土　9：00～13：00","有","090-6861-1969"
"","株式会社たいよう薬局","901-3121","沖縄県","久米島町","島尻郡久米島町嘉手苅1364-1","47361","098-985-4401","月　9：00～17：00火～土9：00～18：00","有","090-7585-2449"
"","はれ薬局","902-0064","沖縄県","那覇市","那覇市寄宮153-1","47201","098-836-6413","月～金9：00～18：00土9：00～16：00","有","098-836-6413"
"","おなは薬局","902-0067","沖縄県","那覇市","那覇市安里３８８－１２７","47201","098-884-2204","月～土9:00～21:00","有","098-884-2204"
