custom_website,custom_address,custom_memo_available_datetime,custom_postalcode,custom_phone,post_title,tax_is_open_sunday,tax_is_open_holiday
http://hospital.luke.ac.jp/,中央区明石町9番1号,女性総合診療部 平日 8:30-17:00救命救急センター 夜間 17:00-8:30土・日・祝 0:00-23:59,104-8560,03-3541-5151,学校法人聖路加国際大学聖路加国際病院,◯,◯
http://www.kitasato-u.ac.jp/hokken-hp/,港区白金5丁目9番1号,平日 8:30-11:30土(第4除く) 8:30-11:30,108-8642,03-3444-6161,北里大学 北里研究所病院,×,×
https://www.toranomon.gr.jp,港区虎ノ門2-2-2,平日 9:00-16:30,105-8470,03-3588-1111,国家公務員共済組合連合会 虎の門病院,×,×
http://www.tkn-hosp.gr.jp,新宿区津久戸町5-1,月・木 9:00-16:00 金 11:00-16:00,162-8543,03-3269-8111,独立行政法人地域医療機能推進機構 東京新宿メディカルセンター,×,×
http://hospinfo.tokyo-med.ac.jp/,新宿区西新宿6-7-1,平日 8:00-11:00,160-0023,03-3342-6111,東京医科大学病院,×,×
www.juntendo.jp/hospital,文京区本郷3-1-3,平日 8:00-15:00  土 8:00-11:00,113-8431,03-3813-3111,順天堂大学医学部附属順天堂医院,×,×
http://www.ebara-hp.ota.tokyo.jp/,大田区東雪谷4-5-10,平日 8:00-12:00 13:00-17:00,145-0065,03-5734-8000,公益財団法人東京都保健医療公社 荏原病院,×,×
https://tokyoh.johas.go.jp/,大田区大森南4-13-21,平日 9:00-17:00,143-0013,03-3742-7301,独立行政法人労働者健康安全機構 東京労災病院,×,×
https://kinohosp.com/,世田谷区成城6-13-20,月~土 8:00-11:30 12:00-16:30,157-0066,03-3482-1702,医療法人社団九折会 成城木下病院,×,×
http://www.kugayama-hp.org/,世田谷区北烏山2-14-20,24時間対応可能(緊急など出来ない場合もある。受診希望は事前TEL),157-0061,03-3309-1111,社会福祉法人康和会 久我山病院,◯,◯
http://www.tokyo-hospital.com,中野区江古田3-15-2,平日・土 9:00-13:00,165-0022,03-3387-5421,医療法人財団健貢会 総合東京病院,×,×
http://www.keisatsubyoin.or.jp/,中野区中野四丁目22番1号,平日 8:30-11:30,164-8541,03-5343-5611,一般財団法人自警会 東京警察病院,×,×
